type,name,notice,furigana
燃やさないごみ,アイロン,,あ
粗大,アイロン台,,あ
燃やすごみ,衣類（着られない物）,,い
燃やすごみ,浮き輪,,う
燃やすごみ,枝木,,え
燃やすごみ,オイル（食用） ,,お
燃やすごみ,貝殻 ,,か
燃やさないごみ,金庫（手提げ）,,き
燃やすごみ,クレヨン・クレパス,,く
有害ごみ,血圧計(水銀),,け
燃やすごみ,ござ,,こ
燃やさないごみ,皿（ガラス製・金属製・陶磁器製） ,,さ
燃やさないごみ,磁器（石製） ,,し
燃やさないごみ,スキー靴,,す
燃やすごみ,線香 ,,せ
燃やさないごみ,双眼鏡 ,,そ
資源,たばこの外箱 ,,た
燃やすごみ,茶碗（木製・プラスチック製） ,,ち
燃やすごみ,使い捨てカイロ ,,つ
燃やすごみ,DVD ,,て
燃やさないごみ,陶器（土製）・陶磁器（土石製） ,,と
燃やさないごみ,ナイフ類 ,,な
燃やすごみ,尿とりパッド(紙製・布製) ,,に
燃やすごみ,ぬいぐるみ ,,ぬ
燃やすごみ,猫の砂 ,,ね
燃やさないごみ,ノート型ワープロ ,,の
燃やさないごみ,白熱灯・白熱電球,,は
燃やさないごみ,ひげ剃り ,,ひ
燃やすごみ,筆,,ふ
有害ごみ,ヘアスプレー缶 ,,へ
燃やさないごみ,ホイール（自転車・一輪車・運搬作業具用） ,,ほ
燃やさないごみ,マグネット ,,ま
燃やさないごみ,ミニチュアカー（金属製） ,,み
燃やさないごみ,虫めがね,,む
燃やさないごみ,メダル(徽章） ,,め
燃やすごみ,毛布,,も
燃やすごみ,野球のグローブ ,,や
燃やさないごみ,湯たんぽ(金属製・陶磁器製） ,,も
粗大,洋服ダンス,,よ
燃やすごみ,ランドセル,,ら
燃やすごみ,リコーダー（たて笛） ,,り
燃やすごみ,ルアー（釣り具） ,,る
燃やすごみ,レシート（感熱紙） ,,れ
燃やさないごみ,ローラースケート,,ろ
燃やすごみ,輪ゴム,,わ
